Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,HomePlanet_n,CryoSleep_n,Destination_n,VIP_n,total_consumed,total_consumed_2,been_in_RoomService,been_in_Spa,been_in_VRDeck,been_in_FoodCourt,been_in_ShoppingMall,total_consumed_3,has_consumed_high,has_consumed_low,Transported_n
23.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
23.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
39.0,12.0,8.0,0.0,4.0,753.0,0,1,0,0,777.0,3,1,1,1,1,0,1,1,1,1
36.0,3.0,0.0,435.0,8.0,277.0,0,1,0,0,723.0,3,1,1,1,0,1,1,1,1,0
23.0,0.0,0.0,4.0,145.0,306.7894819713431,0,1,0,0,455.7894819713431,2,0,1,1,0,1,1,1,1,0
23.0,36.0,18.0,670.0,0.0,32.0,0,1,0,0,756.0,2,1,0,1,1,1,2,1,1,1
19.0,0.0,0.0,97.0,99.0,449.0,0,1,0,0,645.0,2,0,1,1,0,1,1,1,1,0
17.0,0.0,451.96167494677076,0.0,0.0,0.0,0,0,0,0,451.96167494677076,0,0,0,0,1,0,1,0,1,0
30.0,0.0,0.0,0.0,27.0,764.0,0,1,0,0,791.0,2,0,1,1,0,0,0,1,0,0
43.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1
32.0,103.0,0.0,856.0,0.0,666.0,2,1,1,0,1625.0,2,1,0,1,0,1,1,1,1,0
1.0,0.0,0.0,0.0,0.0,306.7894819713431,1,1,0,0,306.7894819713431,1,0,0,1,0,0,0,1,0,1
28.0,0.0,0.0,174.90603284902085,0.0,0.0,0,0,0,0,174.90603284902085,0,0,0,0,0,1,1,0,1,0
33.0,77.0,2381.0,0.0,3656.0,150.0,1,1,1,0,6264.0,3,1,1,1,1,0,1,1,1,0
9.0,0.0,0.0,0.0,0.0,306.7894819713431,0,1,0,0,306.7894819713431,1,0,0,1,0,0,0,1,0,0
24.0,0.0,0.0,809.0,0.0,0.0,0,1,1,0,809.0,0,0,0,0,0,1,1,0,1,1
28.0,0.0,7.0,6.0,0.0,482.0,0,1,0,0,495.0,1,0,0,1,1,1,2,1,1,0
11.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,1
31.0,0.0,1524.0,0.0,0.0,0.0,0,1,0,0,1524.0,0,0,0,0,1,0,1,0,1,0
23.0,0.0,44.0,0.0,3452.0,83.0,1,1,1,0,3579.0,2,0,1,1,1,0,1,1,1,0
37.0,222.89785157787045,0.0,225.0,1.0,2170.0,0,1,0,0,2618.8978515778704,3,1,1,1,0,1,1,1,1,0
20.0,0.0,0.0,20.0,529.0,1.0,0,1,2,0,550.0,2,0,1,1,0,1,1,1,1,0
46.0,222.89785157787045,6669.0,233.0,90.0,92.0,1,1,1,0,7306.897851577871,3,1,1,1,1,1,2,1,1,0
52.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1
43.0,6.0,25.0,0.0,5250.0,0.0,0,1,2,0,5281.0,2,1,1,0,1,0,1,1,1,0
61.0,1143.0,0.0,580.0,0.0,0.0,2,1,0,-1,1723.0,1,1,0,0,0,1,1,1,1,0
19.0,0.0,0.0,223.0,0.0,769.0,0,1,0,0,992.0,1,0,0,1,0,1,1,1,1,0
43.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1
31.0,23.0,0.0,0.0,308.4769036733407,17.0,0,1,1,0,348.4769036733407,3,1,1,1,0,0,0,1,0,0
33.0,0.0,0.0,154.0,22.0,820.0,0,1,0,0,996.0,2,0,1,1,0,1,1,1,1,0
26.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
30.0,1.0,627.0,0.0,0.0,0.0,0,1,1,0,628.0,1,1,0,0,1,0,1,1,1,0
52.0,6.0,2333.0,11.0,1149.0,1.0,1,1,0,0,3500.0,3,1,1,1,1,1,2,1,1,0
34.0,0.0,0.0,39.0,1.0,556.0,0,1,0,0,596.0,2,0,1,1,0,1,1,1,1,0
19.0,0.0,799.0,0.0,38.0,15125.0,1,1,1,0,15962.0,2,0,1,1,1,0,1,1,1,0
16.0,0.0,0.0,752.0,0.0,235.0,0,1,0,0,987.0,1,0,0,1,0,1,1,1,1,0
20.0,0.0,358.0,287.0,0.0,306.7894819713431,0,1,0,0,951.7894819713431,1,0,0,1,1,1,2,1,1,0
36.0,0.0,0.0,0.0,725.0,2.0,0,1,1,0,727.0,2,0,1,1,0,0,0,1,0,0
30.0,0.0,0.0,704.0,0.0,0.0,0,1,0,0,704.0,0,0,0,0,0,1,1,0,1,0
31.0,210.0,20.0,0.0,1027.0,199.0,0,1,0,0,1456.0,3,1,1,1,1,0,1,1,1,0
13.0,192.0,0.0,0.0,51.0,739.0,0,1,0,0,982.0,3,1,1,1,0,0,0,1,0,0
35.0,0.0,0.0,0.0,0.0,0.0,2,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0
9.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,1,-1,0,0.0,0,0,0,0,0,0,0,0,0,0
31.0,691.0,3.0,68.0,286.0,0.0,2,1,0,0,1048.0,2,1,1,0,1,1,2,1,1,0
20.0,686.0,0.0,0.0,25.0,0.0,2,1,2,0,711.0,2,1,1,0,0,0,0,1,0,0
23.0,0.0,0.0,174.90603284902085,3.0,1919.0,0,1,2,0,2096.906032849021,2,0,1,1,0,1,1,1,1,0
50.0,3677.0,782.0,0.0,6.0,1168.0,1,1,0,0,5633.0,3,1,1,1,1,0,1,1,1,1
59.0,3513.0,0.0,2.0,25.0,9.0,2,1,0,0,3549.0,3,1,1,1,0,1,1,1,1,0
25.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0
40.0,420.0,0.0,345.0,1.0,0.0,0,1,2,0,766.0,2,1,1,0,0,1,1,1,1,0
32.0,293.0,889.0,1.0,1.0,200.0,0,1,0,0,1384.0,3,1,1,1,1,1,2,1,1,0
35.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0
48.0,0.0,12.0,0.0,7967.0,15.0,1,1,0,0,7994.0,2,0,1,1,1,0,1,1,1,0
16.0,32.0,9.0,0.0,0.0,1408.0,0,1,0,0,1449.0,2,1,0,1,1,0,1,1,1,0
60.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1
37.0,0.0,0.0,11.0,1028.0,7.0,0,1,0,0,1046.0,2,0,1,1,0,1,1,1,1,0
4.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0
21.0,0.0,697.0,0.0,0.0,0.0,-1,1,2,0,697.0,0,0,0,0,1,0,1,0,1,1
1.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0.0,0,0,0,0,0,0,0,0,0,1
64.0,696.0,0.0,0.0,104.0,0.0,0,1,0,0,800.0,2,1,1,0,0,0,0,1,0,0
2.0,0.0,0.0,0.0,0.0,0.0,-1,1,0,0,0.0,0,0,0,0,0,0,0,0,0,1
33.0,1054.0,0.0,222.0,22.0,0.0,2,1,0,-1,1298.0,2,1,1,0,0,1,1,1,1,0
27.0,0.0,33.0,9.0,1847.0,2035.0,1,1,1,0,3924.0,2,0,1,1,1,1,2,1,1,0
65.0,19.0,1344.0,4.0,3190.0,8.0,1,1,1,0,4565.0,3,1,1,1,1,1,2,1,1,0
52.0,0.0,704.0,0.0,0.0,306.7894819713431,0,1,1,0,1010.7894819713431,1,0,0,1,1,0,1,1,1,1
57.0,0.0,0.0,0.0,0.0,0.0,1,-1,0,0,0.0,0,0,0,0,0,0,0,0,0,1
46.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
23.0,0.0,0.0,2102.0,0.0,0.0,0,1,0,0,2102.0,0,0,0,0,0,1,1,0,1,1
21.0,301.0,451.96167494677076,19.0,0.0,0.0,0,1,1,0,771.9616749467707,1,1,0,0,1,1,2,1,1,0
28.771968503937007,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0.0,0,0,0,0,0,0,0,0,0,1
4.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0.0,0,0,0,0,0,0,0,0,0,1
19.0,0.0,0.0,0.0,0.0,0.0,1,-1,-1,0,0.0,0,0,0,0,0,0,0,0,0,1
10.0,0.0,0.0,0.0,0.0,306.7894819713431,2,1,0,0,306.7894819713431,1,0,0,1,0,0,0,1,0,1
30.0,0.0,1172.0,183.0,91.0,0.0,1,1,0,1,1446.0,1,0,1,0,1,1,2,1,1,1
25.0,2044.0,10302.0,0.0,4.0,4009.0,1,1,0,0,16359.0,3,1,1,1,1,0,1,1,1,0
34.0,0.0,0.0,573.0,214.0,0.0,0,1,0,0,787.0,1,0,1,0,0,1,1,1,1,0
65.0,19.0,33.0,168.0,62.0,1387.0,0,1,0,0,1669.0,3,1,1,1,1,1,2,1,1,0
22.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0
27.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1
28.771968503937007,0.0,0.0,0.0,0.0,0.0,0,0,0,-1,0.0,0,0,0,0,0,0,0,0,0,1
49.0,331.0,0.0,0.0,318.0,0.0,0,1,1,0,649.0,2,1,1,0,0,0,0,1,0,1
28.0,794.0,0.0,614.0,0.0,0.0,2,1,1,0,1408.0,1,1,0,0,0,1,1,1,1,0
24.0,114.0,0.0,0.0,1479.0,0.0,2,1,1,0,1593.0,2,1,1,0,0,0,0,1,0,0
26.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
27.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
8.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,1
8.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0
19.0,1661.0,0.0,350.0,336.0,231.0,2,1,0,0,2578.0,3,1,1,1,0,1,1,1,1,0
34.0,122.0,0.0,6.0,739.0,0.0,0,1,2,0,867.0,2,1,1,0,0,1,1,1,1,0
40.0,0.0,0.0,0.0,0.0,0.0,2,0,1,0,0.0,0,0,0,0,0,0,0,0,0,1
37.0,2771.0,0.0,6.0,1.0,10.0,2,1,0,1,2788.0,3,1,1,1,0,1,1,1,1,0
26.0,172.0,7508.0,1698.0,109.0,11333.0,1,1,0,0,20820.0,3,1,1,1,1,1,2,1,1,0
32.0,8.0,690.0,3.0,5.0,0.0,0,1,2,0,706.0,2,1,1,0,1,1,2,1,1,1
40.0,0.0,0.0,0.0,7.0,782.0,0,1,-1,0,789.0,2,0,1,1,0,0,0,1,0,0
21.0,33.0,319.0,297.0,0.0,0.0,0,1,0,0,649.0,1,1,0,0,1,1,2,1,1,0
19.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0.0,0,0,0,0,0,0,0,0,0,1
2.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0.0,0,0,0,0,0,0,0,0,0,1
44.0,0.0,0.0,0.0,0.0,803.0,0,1,0,0,803.0,1,0,0,1,0,0,0,1,0,0
20.0,0.0,0.0,0.0,0.0,0.0,1,-1,1,0,0.0,0,0,0,0,0,0,0,0,0,0
24.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1
26.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1
20.0,97.0,279.0,0.0,301.0,39.0,0,1,1,-1,716.0,3,1,1,1,1,0,1,1,1,0
4.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
24.0,222.89785157787045,0.0,0.0,11.0,897.0,0,1,0,0,1130.8978515778704,3,1,1,1,0,0,0,1,0,0
50.0,0.0,0.0,78.0,751.0,78.0,0,1,0,0,907.0,2,0,1,1,0,1,1,1,1,0
45.0,0.0,0.0,0.0,0.0,0.0,1,0,1,-1,0.0,0,0,0,0,0,0,0,0,0,0
15.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1
17.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
29.0,0.0,0.0,0.0,1819.0,1.0,0,1,1,0,1820.0,2,0,1,1,0,0,0,1,0,0
21.0,1720.0,2337.0,0.0,1.0,335.0,-1,1,1,0,4393.0,3,1,1,1,1,0,1,1,1,0
23.0,5.0,51.0,0.0,732.0,0.0,0,1,0,0,788.0,2,1,1,0,1,0,1,1,1,0
21.0,1.0,22.0,0.0,649.0,2.0,0,1,2,0,674.0,3,1,1,1,1,0,1,1,1,0
48.0,2191.0,0.0,172.0,1.0,0.0,2,1,0,1,2364.0,2,1,1,0,0,1,1,1,1,0
4.0,0.0,451.96167494677076,0.0,0.0,0.0,2,1,0,0,451.96167494677076,0,0,0,0,1,0,1,0,1,0
32.0,713.0,0.0,2.0,0.0,1.0,0,1,0,0,716.0,2,1,0,1,0,1,1,1,1,0
28.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0.0,0,0,0,0,0,0,0,0,0,0
42.0,2209.0,11418.0,0.0,1868.0,445.0,1,1,0,0,15940.0,3,1,1,1,1,0,1,1,1,1
21.0,507.0,85.0,305.0,0.0,11.0,0,1,0,0,908.0,2,1,0,1,1,1,2,1,1,0
27.0,0.0,875.0,0.0,7.0,0.0,0,1,0,0,882.0,1,0,1,0,1,0,1,1,1,0
22.0,1961.0,82.0,0.0,3025.0,2406.0,1,1,1,0,7474.0,3,1,1,1,1,0,1,1,1,0
19.0,0.0,0.0,496.0,13.0,0.0,0,1,1,0,509.0,1,0,1,0,0,1,1,1,1,1
46.0,0.0,0.0,0.0,369.0,515.0,0,1,0,0,884.0,2,0,1,1,0,0,0,1,0,0
32.0,0.0,0.0,0.0,0.0,772.0,0,1,0,0,772.0,1,0,0,1,0,0,0,1,0,0
28.771968503937007,43.0,152.0,182.0,1.0,2005.0,2,1,0,-1,2383.0,3,1,1,1,1,1,2,1,1,0
15.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0.0,0,0,0,0,0,0,0,0,0,0
33.0,0.0,53.0,615.0,9.0,0.0,0,1,1,0,677.0,1,0,1,0,1,1,2,1,1,1
19.0,0.0,0.0,500.0,2.0,208.0,0,1,-1,0,710.0,2,0,1,1,0,1,1,1,1,1
29.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
8.0,0.0,0.0,0.0,0.0,0.0,-1,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0
37.0,190.0,0.0,2.0,799.0,0.0,0,1,0,0,991.0,2,1,1,0,0,1,1,1,1,0
18.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1
15.0,0.0,0.0,973.0,29.0,0.0,0,1,0,0,1002.0,1,0,1,0,0,1,1,1,1,1
54.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1
27.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
57.0,0.0,1.0,0.0,664.0,19.0,0,1,2,0,684.0,2,0,1,1,1,0,1,1,1,0
18.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1
13.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1
22.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
56.0,0.0,13561.0,0.0,2.0,4088.0,1,1,0,0,17651.0,2,0,1,1,1,0,1,1,1,1
26.0,0.0,5283.0,0.0,3.0,36.0,1,1,1,0,5322.0,2,0,1,1,1,0,1,1,1,0
35.0,127.0,629.0,59.0,86.0,0.0,0,1,0,0,901.0,2,1,1,0,1,1,2,1,1,0
17.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
28.0,637.0,11.0,1.0,0.0,52.0,0,1,1,0,701.0,2,1,0,1,1,1,2,1,1,0
21.0,588.0,0.0,17.0,0.0,1548.0,0,1,0,0,2153.0,2,1,0,1,0,1,1,1,1,0
23.0,15.0,1.0,777.0,3.0,3.0,0,1,0,0,799.0,3,1,1,1,1,1,2,1,1,0
26.0,1.0,913.0,7.0,0.0,0.0,0,1,0,-1,921.0,1,1,0,0,1,1,2,1,1,0
16.0,0.0,11.0,0.0,863.0,0.0,0,1,1,0,874.0,1,0,1,0,1,0,1,1,1,0
32.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0.0,0,0,0,0,0,0,0,0,0,1
13.0,1119.0,11.0,1326.0,0.0,0.0,2,1,0,0,2456.0,1,1,0,0,1,1,2,1,1,1
31.0,697.0,0.0,612.0,0.0,0.0,2,1,0,0,1309.0,1,1,0,0,0,1,1,1,1,0
38.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
20.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
44.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1
38.0,102.0,12.0,14.0,669.0,0.0,0,1,0,-1,797.0,2,1,1,0,1,1,2,1,1,0
28.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0.0,0,0,0,0,0,0,0,0,0,1
14.0,2.0,881.0,0.0,578.0,214.0,1,1,0,0,1675.0,3,1,1,1,1,0,1,1,1,0
14.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1
27.0,847.0,451.96167494677076,4.0,0.0,1.0,2,1,0,0,1303.9616749467707,2,1,0,1,1,1,2,1,1,0
49.0,0.0,104.0,809.0,3668.0,7.0,1,1,0,0,4588.0,2,0,1,1,1,1,2,1,1,0
21.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
22.0,10.0,0.0,624.0,0.0,85.0,0,1,1,0,719.0,2,1,0,1,0,1,1,1,1,1
32.0,0.0,2583.0,3.0,500.0,129.0,1,1,0,0,3215.0,2,0,1,1,1,1,2,1,1,1
